exp_id,subject_id,cre_line,depth,num_seqs,num_ROIs,num_timepoints,targeted_structure,mlp_orientation_accs,mlp_temp_freq_accs
575939366,297620,Sst-IRES-Cre,350,628,5,56609,VISp,40.58333333333330,36.78333333333330
701046700,385254,Slc17a7-IRES2-Cre,275,628,82,56760,VISpm,29.108333333333300,40.35833333333330
657224241,357433,Vip-IRES-Cre,175,628,25,56752,VISl,19.616666666666700,23.325
573850303,291865,Rbp4-Cre_KL100,375,628,28,56762,VISl,32.966666666666700,42.25
593373156,309689,Nr5a1-Cre,350,628,14,56759,VISp,25.975000000000000,39.39166666666670
569457162,284417,Rorb-IRES2-Cre,275,628,36,56749,VISam,24.075000000000000,31.750000000000000
657009581,354087,Vip-IRES-Cre,275,628,8,56616,VISl,25.341666666666700,27.483333333333300
512164988,231585,Cux2-CreERT2,275,628,286,56614,VISal,84.20000000000000,50.96666666666660
571541565,283278,Cux2-CreERT2,175,628,112,56766,VISrl,47.49166666666670,32.55833333333330
504115289,222424,Cux2-CreERT2,175,628,94,56616,VISpm,49.40000000000000,46.63333333333330
504568756,226219,Rbp4-Cre_KL100,375,628,96,56618,VISal,57.5,52.16666666666670
580013262,296704,Emx1-IRES-Cre,275,628,235,56611,VISrl,46.41666666666670,24.191666666666700
502962794,226219,Rbp4-Cre_KL100,375,628,79,56621,VISp,81.55833333333340,65.85833333333330
657390171,354087,Vip-IRES-Cre,175,628,9,56617,VISp,15.483333333333300,33.11666666666670
512326618,233215,Cux2-CreERT2,275,628,240,56613,VISal,83.07500000000000,61.4333333333333
576273468,296710,Vip-IRES-Cre,275,628,15,56620,VISl,19.316666666666700,33.07500000000000
512270518,234831,Rorb-IRES2-Cre,275,628,90,56754,VISp,68.40000000000000,56.32500000000000
587344053,304756,Rorb-IRES2-Cre,275,628,237,56623,VISp,90.3416666666667,66.25000000000000
569896493,284417,Rorb-IRES2-Cre,275,628,43,56757,VISpm,44.11666666666670,32.525000000000000
671618887,369495,Pvalb-IRES-Cre,275,628,16,58302,VISp,17.0,37.62500000000000
